len#! "Page"

1. Create a new html page
2. Add a header with the title "Page"
3. Add a paragraph with the text "This is a page"
4. Add a button with the text "Click me"
5. Add a paragraph with the text "You clicked the button"
6. Add a paragraph with the text "This is a page"
7. Add a button with the text "Click me"
8. Add a paragraph with the text "You clicked the button"
9. Add a paragraph with the text "This is a page"
10. Add a button with the text "Click me"
11. Add a paragraph with the text "You clicked the button"
12. Add a paragraph with the text "This is a page"
13. Add a button with the text "Click me"
14. Add a paragraph with the text "You clicked the button"
15. Add a paragraph with the text "This is a page"
16. Add a button with the text "Click me"
17. Add a paragraph with the text "You clicked the button"
18. Add a paragraph with the text "This is a page"
19. Add a button with the text "Click me"
20. Add a paragraph with the text "You clicked the button"
21. Add a paragraph with the text "This is a page"
22. Add a button with the text "Click me"
23. Add a paragraph with the text "You clicked the button"
24. Add a paragraph with the text "This is a page"
25. Add a button with the text "Click me"
26. Add a paragraph with the text "You clicked the button"
27. Add a paragraph with the text "This is a page"
28. Add a button with the text "Click me"
29. Add a paragraph with the text "You clicked the button"
30. Add a paragraph with the text "This is a page"
31. Add a button with the text "Click me"
32. Add a paragraph with the text "You clicked the button"
33. Add a paragraph with the text "This is a page"
34. Add a button with the text "Click me"
35. Add a paragraph with the text "You clicked the button"
36. Add a paragraph with the text "This is a page"
37. Add a button with the text "Click me"
38. Add a paragraph with the text "You clicked the button"
39. Add a paragraph with the text "This is a page"
40. Add a button with the text "Click me"
41. Add a paragraph with the text "You clicked the button"
42. Add a paragraph with the text "This is a page"
43. Add a button with the text "Click me"
44. Add a paragraph with the text "You clicked the button"
45. Add a paragraph with the text "This is a page"
46. Add a button with the text "Click me"
47. Add a paragraph with the text "You clicked the button"
48. Add a paragraph with the text "This is a page"
49. Add a button with the text "Click me"
50. Add a paragraph with the text "You clicked the button"
51. Add a paragraph with the text "This is a page"
52. Add a button with the text "Click me"
53. Add a paragraph with the text "You clicked the button"
54. Add a paragraph with the text "This is a page"
55. Add a button with the text "Click me"
56. Add a paragraph with the text "You clicked the button"
57. Add a paragraph with the text "This is a page"
58. Add a button with the text "Click me"
59. Add a paragraph with the text "You clicked the button"
60. Add a paragraph with the text "This is a page"
61. Add a button with the text "Click me"
62. Add a paragraph with the text "You clicked the button"
63. Add a paragraph with the text "This is a page"
64. Add a button with the text "Click me"
65. Add a paragraph with the text "You clicked the button"
66. Add a paragraph with the text "This is a page"
67. Add a button with the text "Click me"
68. Add a paragraph with the text "You clicked the button"
69. Add a paragraph with the text "This is a page"
70. Add a button with the text "Click me"
